,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
CSCO,1.6440572483951836,1.720556562408261,1.7913834226961955,1.8569584438968956,1.9176710519101694,1.9738817965547182,2.025924492740721,2.074108202873642,2.1187190722620306,2.160022028429122,2.1982623544198248,2.2336671454463897,2.2664466575232347,2.2967955560999784,2.324894072107851,2.350909072284815,2.3749950501356683,2.3972950434120657,2.417941483561049,2.437056982186635
BA,4.381311153592772,4.357859884053729,4.335008688971022,4.312742213553193,4.291045495909399,4.269903956995809,4.249303390819262,4.229229954891591,4.209670160928208,4.190610865784688,4.172039262625278,4.153942872317377,4.136309535046224,4.119127402144144,4.1023849281288784,4.086070862945625,4.070174244407601,4.054684390830036,4.039590893852646,4.024883611445763
V,1.4408178665817004,1.480469575436174,1.5184327278080838,1.5547792303838546,1.5895779277245952,1.6228947326658143,1.6547927511641016,1.6853324018272495,1.7145715303542204,1.7425655191017195,1.7693673919849089,1.7950279149109536,1.8195956919356355,1.8431172573251655,1.8656371636975693,1.8871980664105994,1.9078408043560118,1.9276044773132412,1.9465265200089936,1.964642773023032
MRK,1.0605735213372518,1.1387298286339549,1.2075946954435004,1.2682727142077839,1.3217371603286379,1.3688456035049708,1.4103536631504658,1.4469271285287397,1.4791526380129194,1.5075470887649622,1.532565927765972,1.5546104571856296,1.574034271268871,1.5911489279874622,1.606228946429769,1.6195162100868477,1.631223846663565,1.6415396466469172,1.6506290754653823,1.6586379275543401
PG,0.7948398388406142,0.827392186450346,0.8561249216407738,0.8814862283404,0.9038717016776818,0.9236305186215085,0.9410708845738979,0.9564648408729005,0.970052508194935,0.9820458320467279,0.9926318887704397,1.00197580363028,1.0102233264980143,1.017503105313867,1.0239286927851146,1.0296003176235975,1.034606447950581,1.0390251712555318,1.0429254124339276,1.0463680089035026
CAT,2.1490244187783336,2.1764883509915567,2.2030457688207936,2.228726593994732,2.2535597606020796,2.277573247691042,2.3007941107927765,2.3232485124043327,2.344961751465434,2.365958291862302,2.386261789990643,2.4058951214088538,2.424880406611468,2.443239035951891,2.460991693742495,2.4781583815592354,2.4947584407770393,2.510810574361357,2.526332867940431,2.5413428101820257
MCD,0.6595387999096205,0.7218567634617103,0.7769035861678915,0.8255276508408798,0.868478352608767,0.9064176486088152,0.9399302600850603,0.9695326841246715,0.9956811539221417,1.018778670255071,1.0391812125407975,1.0572032251988168,1.0731224638749222,1.0871842762171768,1.099605383179131,1.110577219127809,1.1202688822342797,1.1288297406182992,1.1363917344129768,1.1430714092289378
AMZN,2.38998604332652,2.5753375423356486,2.7408901329946707,2.88875869850632,3.0208322141150674,3.138797878182322,3.244162665624284,3.3382725790509618,3.4223298435337024,3.497408264659085,3.564466946063566,3.6243625416861462,3.6778601992578013,3.7256433348273745,3.7683223631904763,3.8064424957499297,3.8404907054230115,3.870901947570035,3.8980647164147073,3.922326007937827
INTC,2.8195031497421064,2.8229867426582347,2.8264389317369334,2.829860000077011,2.8332502282252015,2.8366098941991718,2.8399392735103186,2.843238639186363,2.8465082617937405,2.8497484094597887,2.8529593478947346,2.856141340413485,2.8592946479572205,2.862419529114793,2.8655162401439305,2.868585034992255,2.871626165318104,2.874639880511171,2.8776264277129533,2.8805860518370228
MMM,1.2320948567189165,1.2349682093825394,1.2378230682223876,1.2406595522706714,1.243477779793471,1.2462778682956683,1.2490599345258457,1.2518240944811545,1.2545704634121504,1.2572991558275994,1.2600102854992525,1.2627039654665893,1.26538030804153,1.26803942481312,1.2706814266521809,1.2733064237159344,1.2759145254525948,1.2785058406059324,1.2810804772198074,1.283638542642675
KO,1.1198816409478531,1.1192999092823985,1.1187299697127824,1.1181715832052155,1.117624515571286,1.1170885373697401,1.1165634238102538,1.1160489546591559,1.1155449141470613,1.1150510908783762,1.1145672777426396,1.1140932718276604,1.1136288743344147,1.11317389049367,1.1127281294842988,1.1122914043532468,1.1118635319371257,1.111444332785393,1.1110336310850903,1.110631254587108
MSFT,1.7968634785871167,1.8941997209911505,1.9803516609903888,2.0566044172332654,2.124095443374835,2.183831495343023,2.2367036490018073,2.283500592228098,2.3249203896787147,2.361580895741133,2.3940289709968123,2.422748639678025,2.4481683098020417,2.4706671636845905,2.4905808141591503,2.508206310875253,2.523806571354175,2.5376143028995726,2.5498354738657465,2.5606523860640604
HD,1.3627496755035755,1.3815254410442934,1.3987394968790303,1.4145217411576358,1.4289912675063858,1.442257263714605,1.4544198356713358,1.4655707627695214,1.4757941904780194,1.485167265307636,1.4937607169626577,1.5016393920708364,1.5088627435193736,1.515485279089462,1.5215569727748037,1.527123641887934,1.532227292800016,1.5369064379230772,1.5411963863266473,1.545129510181813
AXP,2.585423862632722,2.603824678479725,2.6219302395762396,2.6397452835039257,2.657274471826429,2.674522391309145,2.6914935551194143,2.7081924040074563,2.7246233074683563,2.7407905648854083,2.7566984066551083,2.772350995294101,2.78775242652836,2.802906730364897,2.8178178721462688,2.832489753588167,2.8469262138003573,2.8611310302912405,2.8751079199562906,2.888860540050634
CVX,1.3991576316291188,1.4175388999592393,1.4355738452546647,1.4532689926170481,1.4706307442080488,1.4876653815656555,1.5043790678768678,1.5207778502075557,1.5368676616903094,1.5526543236710644,1.5681435478152848,1.5833409381744605,1.5982519932136732,1.6128821078009574,1.6272365751591817,1.6413205887811544,1.6551392443086448,1.6686975413760043,1.6820003854190495,1.695052589449865
NKE,1.9338256343871314,2.172164833833004,2.337413478797673,2.4519859650951306,2.531422953030418,2.5864993091099064,2.6246856134731296,2.6511614725298944,2.669518082955615,2.682245343121157,2.6910695839567325,2.6971877292064894,2.701429646669374,2.7043707118169595,2.7064098519647874,2.707823656941498,2.7088038958496963,2.709483528707816,2.709954741203028,2.7102814487966813
IBM,1.2178515442042024,1.3021420552665408,1.3772744870821818,1.4442438557499928,1.5039370698704961,1.557144676316829,1.6045713298395023,1.646845125159132,1.6845259151366836,1.7181127251828834,1.7480503620995076,1.7747353048767103,1.7985209554611483,1.8197223190334286,1.8386201757781206,1.8554647993951523,1.8704792715986818,1.8838624364990015,1.8957915339938207,1.9064245470442314
GS,2.2802115155509983,2.292053879944656,2.3035366009260185,2.3146706005862923,2.325466469321254,2.335934475904582,2.3460845772552714,2.355926427908418,2.3654693891983825,2.374722538163068,2.383694676177785,2.3923943373269085,2.4008297965212977,2.409009077369193,2.416939959808082,2.424629987504791,2.432086475030842,2.439316514819899,2.446326983913922,2.4531245505044446
DIS,2.0230571353801072,2.030064257954148,2.036917063549671,2.043618950670071,2.0501732429739308,2.0565831909233183,2.062851973395785,2.0689826992608613,2.074978408921836,2.0808420758235786,2.0865766079271566,2.0921848491519768,2.0976695807861665,2.1030335228658954,2.1082793355243186,2.1134096203108133,2.1184269214811624,2.123333727259324,2.1281324710714133,2.1328255327525083
JPM,1.1160022578526057,1.2011054774367043,1.28037280116263,1.3542044216509899,1.422973088583469,1.4870259905838503,1.5466865080503118,1.6022558457884328,1.654014553687493,1.7022239431174206,1.7471274061972748,1.7889516445957832,1.8279078140677112,1.8641925905044225,1.89798916288074,1.9294681581111484,1.9587885024846048,1.9860982240270395,2.0115351998423887,2.035227852205221
VZ,0.8860592630550118,0.9103808530124043,0.932434939717018,0.9524329226295939,0.970566492426797,0.9870094684523065,1.0019194648622347,1.0154394014357107,1.0276988735325043,1.038815394329423,1.0488955212429336,1.0580358773353404,1.0663240774952034,1.0738395682699031,1.0806543894005658,1.0868338643590434,1.0924372265060904,1.0975181868727775,1.1021254490076102,1.1063031758244213
AMGN,1.468689414182783,1.5233429284485314,1.5747342281164696,1.623058031572508,1.668497434653312,1.711224604384853,1.7514014313123867,1.7891801428934966,1.8247038802783067,1.8581072406622523,1.8895167872663454,1.9190515288772179,1.9468233707638922,1.972937538679772,1.9974929775563697,2.020582726399397,2.042294270807679,2.0627098744505545,2.0819068907597216,2.0999580560164994
UNH,1.3219405335298429,1.3534395634571719,1.3838019688157979,1.4130687640564248,1.4412794836466445,1.4684722354752848,1.494683752329693,1.5199494415154895,1.5443034326858218,1.5677786239447271,1.5904067262868804,1.612218306433761,1.6332428281240994,1.6535086919143815,1.673043273543176,1.6918729609111043,1.7100231897264118,1.727518477864287,1.7443824584863457,1.7606379119650166
HON,1.2157302982230038,1.2321746016047777,1.2479719219088066,1.2631477139745673,1.2777264311488001,1.2917315646881429,1.3051856816115093,1.3181104610632095,1.3305267292454022,1.3424544929761673,1.3539129719272744,1.3649206295935907,1.3754952030440315,1.3856537315019926,1.3954125838013165,1.4047874847620343,1.4137935405283828,1.4224452629099245,1.4307565927649937,1.4387409224641459
AAPL,2.2597266974151724,2.319951229766201,2.376764146517187,2.4303587097915225,2.4809172337475545,2.528611704761869,2.573604366480268,2.6160482717266156,2.6560878031470088,2.693859164360351,2.7294908432860967,2.763104049225282,2.7948131251816695,2.824725936825614,2.8529442394237963,2.8795640239830247,2.9046758437855877,2.928365122426942,2.9507124444036013,2.971793829239722
WMT,1.1448839900849026,1.2733605954509406,1.3672376990342339,1.4358331491714775,1.4859554431060813,1.5225795099245132,1.549340501192611,1.5688946008834401,1.5831826670798035,1.593622873423203,1.6012514710930894,1.6068256427612373,1.6108986573742161,1.6138747853130693,1.6160494245790809,1.617638420762861,1.618799490974151,1.6196478781819406,1.620267789749167,1.6207207555030736
TRV,1.1817974722490632,1.2079260017095723,1.2322457889582747,1.254882043812038,1.2759513084632683,1.2955620574944746,1.3138152563569467,1.3308048811888575,1.3466184026490617,1.3613372362575975,1.375037161561456,1.3877887122836858,1.3996575394645028,1.4107047494640301,1.4209872185668668,1.4305578858082169,1.4394660255291893,1.4477575010645118,1.4554750008687636,1.4626582582968166
JNJ,0.9057871104280497,0.9127353002570002,0.919449334286504,0.9259371036277373,0.932206233459383,0.9382640919896248,0.944117799116119,0.9497742347941246,0.9552400471226234,0.9605216601579376,0.9656252814640246,0.9705569094083268,0.9753223402117478,0.9799271747610431,0.9843768251916319,0.9886765212485662,0.992831316433133,0.9968460939423154,1.0007255724080912,1.004474311443317
CRM,2.34883531997562,2.5711923215118233,2.783241956866816,2.985462024341796,3.178308173881863,3.3622149337637977,3.5375966896916995,3.7048486185066096,3.8643475786139954,4.0164529591354405,4.161507489697876,4.2998380126850115,4.431756219691016,4.557559353835875,4.677530879524888,4.791941121161446,4.901047872252253,5.00509697627746,5.104322880634542,5.1989491649040875
